EXT_SOURCE_3;EXT_SOURCE_2;AMT_GOODS_PRICE;AMT_ANNUITY;CODE_GENDER;DAYS_ID_PUBLISH;DAYS_REGISTRATION;DAYS_EMPLOYED;DAYS_BIRTH;REGION_POPULATION_RELATIVE;YEARS_EMPLOYED;YEARS_REGISTRATION;YEARS_ID_PUBLISH;NEW_CREDIT_TO_ANNUITY_RATIO;NEW_REFUND_PERCENT;NEW_CREDIT_TO_GOODS_RATIO;NEW_INCOME_PER_PERSON;NEW_EMPLOY_TO_BIRTH_RATIO;NEW_ANNUITY_TO_INCOME_PERCENT;BURO_DAYS_CREDIT_MAX;BURO_AMT_CREDIT_MAX_OVERDUE_MEAN;ACTIVE_DAYS_CREDIT_MAX;ACTIVE_DAYS_CREDIT_ENDDATE_MIN;ACTIVE_DAYS_CREDIT_ENDDATE_MAX;ACTIVE_DAYS_CREDIT_ENDDATE_MEAN;ACTIVE_DAYS_CREDIT_UPDATE_MEAN;CLOSED_AMT_CREDIT_SUM_SUM;PREV_APP_CREDIT_PERC_MEAN;PREV_HOUR_APPR_PROCESS_START_MEAN;PREV_CNT_PAYMENT_MEAN;PREV_CNT_PAYMENT_SUM;APPROVED_DAYS_DECISION_MAX;APPROVED_CNT_PAYMENT_MEAN;INSTAL_DPD_MEAN;INSTAL_DBD_MEAN;INSTAL_DBD_SUM;INSTAL_AMT_PAYMENT_MIN;INSTAL_AMT_PAYMENT_SUM;INSTAL_DAYS_ENTRY_PAYMENT_MAX;INSTAL_DAYS_ENTRY_PAYMENT_SUM;SK_ID_CURR;Proba
0.5352762504724826;0.4926603700026074;675000.0;31464.0;1;-30;-5738.0;-536.0;-12731;0.031329;1.47;15.72;0.08;25.700800915331808;3.890929326655537;1.198;48000.0;0.04323529411764706;21.85;-300.0;0.0;-264.0;85.0;1021.0;620.0;-30.0;435066.57;0.8145721902878047;12.4;17.0;170.0;-708.0;17.5;0.4392523364485981;3.6261682242990654;388.0;5.22;3950824.815;-27.0;-94310.0;217361;0.6652564687305244
0.2512394458905693;0.6561474776368696;900000.0;51745.5;1;-4404;-4404.0;-3840.0;-21982;0.031329;10.52;12.07;12.07;18.77032785459605;5.327557449962936;1.0792;135000.0;0.1753333333333333;19.165;-87.0;0.0;-87.0;358.0;462.0;410.0;-45.0;435066.57;0.968713504991927;11.666666666666666;8.0;24.0;-182.0;8.0;5.4324324324324325;10.054054054054054;372.0;5.175;674146.26;-64.0;-73186.0;321924;0.31820768513781517
0.5352762504724826;0.7256659381332637;544500.0;29583.0;1;-4075;-5181.0;-994.0;-13214;0.018029;2.72;14.19;11.16;25.694554304837236;3.8918752516043478;1.396;47250.0;0.07555555555555556;31.304761904761907;-300.0;0.0;-264.0;85.0;1021.0;620.0;-30.0;435066.57;0.8710955839168637;14.5;27.0;54.0;-352.0;27.0;0.0;19.533333333333335;293.0;6586.335;392231.25;-30.0;-5455.0;355050;0.40526997227693873
0.6144143775673561;0.6588952236317969;675000.0;32602.5;0;-4481;-2328.0;-739.0;-13594;0.030755;2.02;6.38;12.28;20.70393374741201;4.83;1.0;93000.0;0.05459459459459459;11.685483870967742;-472.0;0.0;-472.0;258.0;3154.0;1706.0;-26.5;2537122.5;0.7874258893280632;12.0;24.0;24.0;-1121.0;24.0;0.0;9.136363636363637;201.0;17171.91;409904.595;-469.0;-17273.0;278360;0.27682835577560416
0.1082263226697141;0.6379370809054495;270000.0;13500.0;0;-3872;-8801.0;-3519.0;-14690;0.02461;9.64;24.11;10.61;20.0;5.0;1.0;157500.0;0.24100000000000002;8.571428571428571;-55.0;2467.63125;-55.0;1051.0;1516.0;1283.5;-13.0;674046.0;1.0;14.0;11.0;22.0;-165.0;10.0;0.0;14.8;74.0;7870.59;39352.95;-22.0;-424.0;169016;0.6800957440425127
0.3556387169923543;0.4512666402734318;1125000.0;32242.5;1;-1194;-1179.0;-286.0;-11182;0.015221;0.78;3.23;3.27;34.89183531053733;2.866;1.0;52500.0;0.026000000000000002;20.47142857142857;-225.0;0.0;-225.0;0.0;0.0;0.0;-11.0;367145.45999999996;1.1204241954512186;12.5;11.25;90.0;-133.0;11.0;0.0;7.054054054054054;261.0;34.785;1239281.685;-9.0;-15889.0;292489;0.32817989186196106
0.5352762504724826;0.2843378639843749;1354500.0;51687.0;0;-4372;-6466.0;-1990.0;-12612;0.003069;5.45;17.72;11.98;28.696413024551628;3.484756088311231;1.0950398671096346;67500.0;0.16029411764705884;38.28666666666667;-1240.0;0.0;-264.0;85.0;1021.0;620.0;-30.0;128148.48;0.8893704166284492;12.333333333333334;14.0;42.0;-690.0;14.0;0.7142857142857143;5.095238095238095;214.0;0.045;1212409.71;-30.0;-31240.0;237660;0.5177912274699679
0.7136313997323308;0.7505819064090248;900000.0;26446.5;0;-2973;-6292.0;-1894.0;-19420;0.072508;5.19;17.24;8.15;34.03096818104475;2.9385000000000003;1.0;135000.0;0.0979245283018868;9.795;-2902.0;0.0;-264.0;85.0;1021.0;620.0;-30.0;450000.0;1.0364523900088753;17.4;11.6;58.0;-207.0;11.333333333333334;0.9259259259259259;7.092592592592593;383.0;163.215;658352.25;-21.0;-31772.0;269431;0.16674517040436942
0.5352762504724826;0.5767470581646564;2250000.0;66532.5;1;-439;-3615.0;-1538.0;-10031;0.014464;4.21;9.9;1.2;37.83564423402097;2.6430103682516983;1.1188;313200.0;0.1559259259259259;21.242816091954023;-1492.0;0.0;-264.0;85.0;1021.0;620.0;-30.0;185881.5;1.0;13.0;12.0;12.0;-231.0;12.0;0.0;10.0;0.0;67.5;204935.58000000002;-31.0;-1997.0;396262;0.3044703537900131
0.3740208032583212;0.1864118556795137;148500.0;14863.5;0;-945;-5092.0;-1233.0;-8482;0.00702;3.38;13.95;2.59;12.364819860732668;8.087461129747068;1.2376060606060606;99000.0;0.14695652173913043;15.013636363636362;-143.0;0.0;-143.0;0.0;1683.0;616.3333333333334;-43.666666666666664;435066.57;0.9045847034860639;18.0;12.0;24.0;-900.0;12.0;0.0;12.833333333333334;154.0;12954.105;156184.83000000002;-554.0;-8590.0;282160;0.7119945810813174
